transaction_id,product_id,customer_id,transaction_date,online_order,order_status,brand,product_line,product_class,product_size,list_price,standard_cost
61,0,1839,2/24/2017,False,Approved,OHM Cycles,Road,high,large,12.01,7.21
89,0,2682,4/4/2017,True,Approved,OHM Cycles,Road,high,large,12.01,7.21
1105,0,469,2/5/2017,True,Approved,OHM Cycles,Road,high,large,12.01,7.21
1143,0,2912,5/2/2017,False,Approved,OHM Cycles,Road,high,large,12.01,7.21
1573,0,2027,9/29/2017,True,Approved,OHM Cycles,Road,high,large,12.01,7.21
2561,0,1942,4/14/2017,True,Approved,OHM Cycles,Road,high,large,12.01,7.21
2607,0,1912,10/28/2017,False,Approved,OHM Cycles,Road,high,large,12.01,7.21
2957,0,1912,11/22/2017,False,Approved,OHM Cycles,Road,high,large,12.01,7.21
3339,0,2189,6/4/2017,False,Approved,OHM Cycles,Road,high,large,12.01,7.21
3607,0,1614,7/22/2017,True,Approved,OHM Cycles,Road,high,large,12.01,7.21
4153,0,428,8/6/2017,False,Approved,OHM Cycles,Road,high,large,12.01,7.21
4984,0,928,4/8/2017,False,Approved,OHM Cycles,Road,high,large,12.01,7.21
5556,0,1323,6/6/2017,False,Approved,OHM Cycles,Road,high,large,12.01,7.21
5655,0,1892,1/4/2017,True,Approved,OHM Cycles,Road,high,large,12.01,7.21
6240,0,784,3/2/2017,True,Approved,OHM Cycles,Road,high,large,12.01,7.21
6303,0,2389,10/20/2017,True,Approved,OHM Cycles,Road,high,large,12.01,7.21
6997,0,2476,4/22/2017,False,Approved,OHM Cycles,Road,high,large,12.01,7.21
7072,0,661,7/16/2017,True,Approved,OHM Cycles,Road,high,large,12.01,7.21
7299,0,3429,6/1/2017,False,Approved,OHM Cycles,Road,high,large,12.01,7.21
7424,0,1907,8/13/2017,True,Approved,OHM Cycles,Road,high,large,12.01,7.21
7789,0,2288,8/9/2017,True,Approved,OHM Cycles,Road,high,large,12.01,7.21
7964,0,2990,2/6/2017,False,Approved,OHM Cycles,Road,high,large,12.01,7.21
8742,0,710,10/22/2017,False,Approved,OHM Cycles,Road,high,large,12.01,7.21
9839,0,3451,12/5/2017,False,Approved,OHM Cycles,Road,high,large,12.01,7.21
10165,0,633,8/8/2017,True,Approved,OHM Cycles,Road,high,large,12.01,7.21
11113,0,2728,12/9/2017,False,Approved,OHM Cycles,Road,high,large,12.01,7.21
11411,0,539,1/3/2017,False,Approved,OHM Cycles,Road,high,large,12.01,7.21
11989,0,101,7/26/2017,True,Approved,OHM Cycles,Road,high,large,12.01,7.21
12003,0,2159,9/21/2017,True,Approved,OHM Cycles,Road,high,large,12.01,7.21
12179,0,982,6/5/2017,False,Approved,OHM Cycles,Road,high,large,12.01,7.21
12200,0,2871,5/13/2017,False,Approved,OHM Cycles,Road,high,large,12.01,7.21
12439,0,842,11/5/2017,True,Approved,OHM Cycles,Road,high,large,12.01,7.21
12723,0,3293,6/25/2017,True,Approved,OHM Cycles,Road,high,large,12.01,7.21
12783,0,1340,5/22/2017,False,Approved,OHM Cycles,Road,high,large,12.01,7.21
12909,0,1691,11/23/2017,True,Approved,OHM Cycles,Road,high,large,12.01,7.21
13250,0,1034,1/7/2017,True,Approved,OHM Cycles,Road,high,large,12.01,7.21
14213,0,1352,6/3/2017,True,Approved,OHM Cycles,Road,high,large,12.01,7.21
14269,0,3193,12/17/2017,True,Approved,OHM Cycles,Road,high,large,12.01,7.21
14371,0,3290,4/11/2017,True,Approved,OHM Cycles,Road,high,large,12.01,7.21
14533,0,3009,9/19/2017,False,Approved,OHM Cycles,Road,high,large,12.01,7.21
15476,0,246,4/14/2017,False,Approved,OHM Cycles,Road,high,large,12.01,7.21
15779,0,88,7/12/2017,False,Approved,OHM Cycles,Road,high,large,12.01,7.21
16250,0,1405,8/22/2017,True,Approved,OHM Cycles,Road,high,large,12.01,7.21
16546,0,1555,3/14/2017,True,Approved,OHM Cycles,Road,high,large,12.01,7.21
16563,0,968,9/16/2017,True,Approved,OHM Cycles,Road,high,large,12.01,7.21
18118,0,3326,10/19/2017,False,Approved,OHM Cycles,Road,high,large,12.01,7.21
18235,0,1674,9/27/2017,False,Approved,OHM Cycles,Road,high,large,12.01,7.21
18357,0,2559,1/31/2017,False,Approved,OHM Cycles,Road,high,large,12.01,7.21
18556,0,3020,6/4/2017,True,Approved,OHM Cycles,Road,high,large,12.01,7.21
19237,0,2584,11/17/2017,False,Approved,OHM Cycles,Road,high,large,12.01,7.21
659,0,2240,4/18/2017,True,Approved,WeareA2B,Standard,medium,medium,60.34,45.26
2239,0,3326,4/30/2017,True,Approved,WeareA2B,Standard,medium,medium,60.34,45.26
2767,0,1307,8/19/2017,True,Approved,WeareA2B,Standard,medium,medium,60.34,45.26
3370,0,1798,12/17/2017,True,Approved,WeareA2B,Standard,medium,medium,60.34,45.26
3421,0,2553,3/17/2017,True,Approved,WeareA2B,Standard,medium,medium,60.34,45.26
3443,0,1640,1/27/2017,True,Approved,WeareA2B,Standard,medium,medium,60.34,45.26
3839,0,3271,2/7/2017,False,Approved,WeareA2B,Standard,medium,medium,60.34,45.26
4082,0,637,1/12/2017,True,Approved,WeareA2B,Standard,medium,medium,60.34,45.26
4092,0,137,12/3/2017,False,Approved,WeareA2B,Standard,medium,medium,60.34,45.26
4780,0,803,10/15/2017,True,Approved,WeareA2B,Standard,medium,medium,60.34,45.26
5214,0,82,3/30/2017,True,Approved,WeareA2B,Standard,medium,medium,60.34,45.26
5761,0,1003,2/20/2017,False,Approved,WeareA2B,Standard,medium,medium,60.34,45.26
5863,0,705,3/21/2017,True,Approved,WeareA2B,Standard,medium,medium,60.34,45.26
6588,0,451,4/6/2017,False,Approved,WeareA2B,Standard,medium,medium,60.34,45.26
6755,0,2332,11/29/2017,False,Approved,WeareA2B,Standard,medium,medium,60.34,45.26
7449,0,218,12/16/2017,True,Approved,WeareA2B,Standard,medium,medium,60.34,45.26
7539,0,349,7/17/2017,False,Approved,WeareA2B,Standard,medium,medium,60.34,45.26
8177,0,3282,12/14/2017,False,Approved,WeareA2B,Standard,medium,medium,60.34,45.26
8810,0,1242,6/28/2017,,Approved,WeareA2B,Standard,medium,medium,60.34,45.26
9127,0,1826,8/12/2017,False,Approved,WeareA2B,Standard,medium,medium,60.34,45.26
9558,0,2674,9/24/2017,False,Approved,WeareA2B,Standard,medium,medium,60.34,45.26
9691,0,858,8/28/2017,True,Approved,WeareA2B,Standard,medium,medium,60.34,45.26
9804,0,1990,10/5/2017,False,Approved,WeareA2B,Standard,medium,medium,60.34,45.26
10373,0,275,8/17/2017,,Approved,WeareA2B,Standard,medium,medium,60.34,45.26
10411,0,395,9/11/2017,False,Approved,WeareA2B,Standard,medium,medium,60.34,45.26
10632,0,686,8/9/2017,True,Approved,WeareA2B,Standard,medium,medium,60.34,45.26
10741,0,1652,6/21/2017,True,Approved,WeareA2B,Standard,medium,medium,60.34,45.26
10824,0,37,5/7/2017,False,Approved,WeareA2B,Standard,medium,medium,60.34,45.26
10953,0,978,3/15/2017,False,Approved,WeareA2B,Standard,medium,medium,60.34,45.26
11039,0,539,5/6/2017,True,Approved,WeareA2B,Standard,medium,medium,60.34,45.26
11224,0,1094,4/12/2017,False,Approved,WeareA2B,Standard,medium,medium,60.34,45.26
11957,0,1600,10/12/2017,True,Approved,WeareA2B,Standard,medium,medium,60.34,45.26
12274,0,2687,12/13/2017,True,Approved,WeareA2B,Standard,medium,medium,60.34,45.26
13502,0,1200,2/10/2017,False,Approved,WeareA2B,Standard,medium,medium,60.34,45.26
13940,0,1340,2/24/2017,False,Approved,WeareA2B,Standard,medium,medium,60.34,45.26
14338,0,1807,1/20/2017,False,Approved,WeareA2B,Standard,medium,medium,60.34,45.26
14555,0,687,12/20/2017,True,Approved,WeareA2B,Standard,medium,medium,60.34,45.26
14823,0,2099,10/28/2017,False,Approved,WeareA2B,Standard,medium,medium,60.34,45.26
15145,0,1237,5/5/2017,True,Approved,WeareA2B,Standard,medium,medium,60.34,45.26
15166,0,3152,11/4/2017,True,Approved,WeareA2B,Standard,medium,medium,60.34,45.26
15514,0,3014,7/23/2017,False,Approved,WeareA2B,Standard,medium,medium,60.34,45.26
15521,0,736,10/1/2017,False,Approved,WeareA2B,Standard,medium,medium,60.34,45.26
15606,0,243,4/18/2017,False,Approved,WeareA2B,Standard,medium,medium,60.34,45.26
15957,0,3020,12/8/2017,True,Approved,WeareA2B,Standard,medium,medium,60.34,45.26
16269,0,2089,8/5/2017,True,Approved,WeareA2B,Standard,medium,medium,60.34,45.26
16277,0,1817,11/29/2017,True,Approved,WeareA2B,Standard,medium,medium,60.34,45.26
16542,0,1830,12/17/2017,False,Approved,WeareA2B,Standard,medium,medium,60.34,45.26
16560,0,344,8/31/2017,False,Approved,WeareA2B,Standard,medium,medium,60.34,45.26
16735,0,918,6/3/2017,True,Approved,WeareA2B,Standard,medium,medium,60.34,45.26
16956,0,1877,2/26/2017,False,Approved,WeareA2B,Standard,medium,medium,60.34,45.26
17023,0,2171,3/30/2017,False,Approved,WeareA2B,Standard,medium,medium,60.34,45.26
17097,0,2359,6/19/2017,False,Approved,WeareA2B,Standard,medium,medium,60.34,45.26
17597,0,3326,11/5/2017,True,Approved,WeareA2B,Standard,medium,medium,60.34,45.26
17727,0,1136,8/7/2017,False,Approved,WeareA2B,Standard,medium,medium,60.34,45.26
